t,x,y
0,0.0012064,0.134714648
0.033588889,0.009626065,0.134639248
0.067177778,0.013835898,0.134601548
0.100766667,0.019119922,0.134188967
0.134355556,0.024819344,0.133673815
0.167944444,0.03154516,0.132825965
0.201533333,0.038810357,0.132708288
0.235122222,0.046785083,0.132665104
0.268711111,0.055350406,0.131936554
0.3023,0.065178765,0.131530591
0.335888889,0.074294376,0.130513899
0.369477778,0.083619309,0.129425872
0.403066667,0.094990028,0.127688908
0.436655556,0.106217798,0.127346649
0.470244444,0.116231524,0.126178135
0.503833333,0.12760421,0.124961528
0.537422222,0.139754422,0.124164001
0.571011111,0.154666662,0.12400663
0.6046,0.167806941,0.122119807
0.638188889,0.1827259,0.121417756
0.671777778,0.196958661,0.119826297
0.705366667,0.212090839,0.119502723
0.738955556,0.227474135,0.117847455
0.772544444,0.24229144,0.1155077
0.806133333,0.25953825,0.11464046
0.839722222,0.276318116,0.114510341
0.873311111,0.294230576,0.113215677
0.9069,0.30962855,0.110963644
0.940488889,0.330536141,0.109811627
0.974077778,0.347892928,0.108789489
1.007666667,0.368729197,0.106967185
1.041366667,0.388108323,0.105868196
1.074955556,0.40892765,0.104392672
1.108544444,0.428887869,0.103622337
1.142133333,0.4503549,0.100339344
1.175722222,0.472996072,0.100482622
1.209311111,0.495743161,0.09899204
1.2429,0.517695419,0.097102772
1.276488889,0.541547947,0.096381526
1.310077778,0.564922616,0.095026479
1.343666667,0.584461185,0.091967471
1.377255556,0.612592317,0.092474579
1.410844444,0.639162314,0.09062625
1.444433333,0.66446543,0.089159482
1.478022222,0.687007625,0.087905091
1.511611111,0.713387272,0.084347815
1.5452,0.737451711,0.084200071
1.578788889,0.7636745,0.081585532
1.612377778,0.792526918,0.079917588
1.645966667,0.816813881,0.078428566
1.679555556,0.844457906,0.075614537
1.713144444,0.872375443,0.075186352
1.746733333,0.901011255,0.073510133
1.780322222,0.929200958,0.072318621
1.813911111,0.960040689,0.070509273
1.8475,0.98784779,0.068078029
1.881088889,1.016426311,0.067441663
1.914677778,1.046406423,0.06522476
1.948266667,1.075951881,0.063565241
1.981855556,1.107695509,0.060729021
2.015444444,1.140650112,0.0593112
